Year,State/Region,Population,PCPersonalHealthcare,PCHospital,PCPhysician,PCOtherProfessionalService,PCHomeHealth,PCNursing,PCDrugs,PCPersonalIncome,PCEminushealthE,PCGDP,%change in MFP,Average Weekly hours worked,Total Hours Worked,"Labor Productivity (index, 2009 is base year)",Average hours per day spent purchasing goods & services
2012,Ohio,11551,8072,3494,1689,218,245,594,926,40269,27210,44896,0.6,32.5,187.157,104.341,0.72
2013,Ohio,11570,8286,3650,1698,222,251,601,944,40687,27800,45254,0.5,32.5,190.307,104.656,0.75
2014,Ohio,11594,8712,3809,1779,233,259,605,1023,42197,28621,46662,0.6,32.5,194.555,105.729,0.74
2003,Oklahoma,3505,4751,1820,1144,131,128,308,663,26720,18096,35780,2.5,32.7,186.157,89.182,0.81
2004,Oklahoma,3525,4971,1882,1155,145,142,322,736,28676,18984,36634,2.6,32.7,188.63,91.953,0.82
2005,Oklahoma,3549,5366,2090,1232,149,164,339,775,31062,20219,37662,1.5,32.6,191.757,93.861,0.8
2006,Oklahoma,3594,5680,2178,1298,166,173,327,878,34019,21408,39391,0.4,32.7,196.156,94.68,0.81
2007,Oklahoma,3634,6033,2289,1379,171,196,352,941,35133,22200,39716,0.4,32.7,197.541,96.178,0.78
2008,Oklahoma,3669,6366,2419,1416,185,216,381,986,38744,23047,40048,-1.2,32.5,193.44,96.951,0.77
2009,Oklahoma,3718,6504,2460,1444,191,228,380,1028,34920,21997,38640,-0.2,31.9,179.559,100,0.76
2010,Oklahoma,3760,6648,2585,1447,204,235,363,1042,35911,22596,38303,2.9,32.3,179.413,103.278,0.75
2011,Oklahoma,3786,6921,2728,1529,218,228,364,1063,38459,23803,39961,0.2,32.4,183.109,103.422,0.72
2012,Oklahoma,3817,7175,2868,1553,234,221,389,1103,41098,24498,41861,0.6,32.5,187.157,104.341,0.72
2013,Oklahoma,3852,7293,2964,1582,245,201,397,1088,42684,25044,43288,0.5,32.5,190.307,104.656,0.75
2014,Oklahoma,3877,7627,3118,1651,260,195,408,1180,45186,25960,45414,0.6,32.5,194.555,105.729,0.74
2003,Oregon,3547,4677,1553,1292,174,64,242,561,29832,22925,38870,2.5,32.7,186.157,89.182,0.81
2004,Oregon,3569,5034,1682,1412,188,77,270,575,31436,24406,42196,2.6,32.7,188.63,91.953,0.82
2005,Oregon,3613,5395,1826,1510,204,82,295,611,32421,25632,42558,1.5,32.6,191.757,93.861,0.8
2006,Oregon,3671,5742,1934,1610,215,87,305,684,34721,26951,45752,0.4,32.7,196.156,94.68,0.81
2007,Oregon,3722,5981,2032,1585,237,112,332,729,35858,27804,46504,0.4,32.7,197.541,96.178,0.78
2008,Oregon,3769,6206,2103,1651,253,118,355,740,37149,27815,48508,-1.2,32.5,193.44,96.951,0.77
2009,Oregon,3809,6484,2266,1632,259,125,383,753,35409,26547,47530,-0.2,31.9,179.559,100,0.76
2010,Oregon,3838,6729,2435,1652,272,126,401,742,35692,27171,49601,2.9,32.3,179.413,103.278,0.75
2011,Oregon,3868,6971,2513,1725,285,129,424,760,37392,28213,51266,0.2,32.4,183.109,103.422,0.72
2012,Oregon,3899,7119,2586,1744,305,141,438,761,39109,28794,49395,0.6,32.5,187.157,104.341,0.72
2013,Oregon,3926,7467,2699,1802,320,157,445,788,39521,29657,48094,0.5,32.5,190.307,104.656,0.75
2014,Oregon,3968,8044,2940,1879,330,167,467,882,41785,30961,48466,0.6,32.5,194.555,105.729,0.74
2003,Pennsylvania,12375,5813,2005,1257,183,122,551,888,32963,22998,43553,2.5,32.7,186.157,89.182,0.81
2004,Pennsylvania,12411,6191,2156,1336,200,127,569,955,34916,24075,44585,2.6,32.7,188.63,91.953,0.82
2005,Pennsylvania,12450,6596,2356,1394,208,136,590,1008,36247,25179,45035,1.5,32.6,191.757,93.861,0.8
2006,Pennsylvania,12511,6880,2513,1420,213,137,620,1048,38060,26257,45021,0.4,32.7,196.156,94.68,0.81
2007,Pennsylvania,12564,7246,2651,1526,229,149,657,1093,40302,27275,46330,0.4,32.7,197.541,96.178,0.78
2008,Pennsylvania,12612,7489,2735,1617,236,162,658,1107,41932,28057,46862,-1.2,32.5,193.44,96.951,0.77
2009,Pennsylvania,12667,7701,2799,1668,239,174,667,1150,40696,27467,45312,-0.2,31.9,179.559,100,0.76
2010,Pennsylvania,12712,8121,2992,1704,258,188,747,1150,42001,28340,46387,2.9,32.3,179.413,103.278,0.75
2011,Pennsylvania,12744,8432,3136,1786,271,198,754,1165,44021,29496,46872,0.2,32.4,183.109,103.422,0.72
2012,Pennsylvania,12772,8632,3205,1865,290,217,754,1158,45871,30052,47540,0.6,32.5,187.157,104.341,0.72
2013,Pennsylvania,12781,8877,3329,1901,299,221,763,1225,46121,30699,48278,0.5,32.5,190.307,104.656,0.75
2014,Pennsylvania,12791,9258,3416,1967,308,244,774,1345,47977,31560,49214,0.6,32.5,194.555,105.729,0.74
2003,Plains,19569,5331,1976,1202,153,103,425,740,31517,22570,43961,2.5,32.7,186.157,89.182,0.81
2004,Plains,19688,5636,2106,1248,167,113,438,787,33041,23669,45031,2.6,32.7,188.63,91.953,0.82
2005,Plains,19803,5931,2274,1265,177,127,461,831,33990,24615,45733,1.5,32.6,191.757,93.861,0.8
2006,Plains,19957,6210,2391,1314,183,133,466,906,35835,25565,46013,0.4,32.7,196.156,94.68,0.81
2007,Plains,20106,6593,2561,1393,196,147,495,939,37896,26389,46501,0.4,32.7,197.541,96.178,0.78
2008,Plains,20249,6877,2711,1441,209,166,510,944,40075,27126,46794,-1.2,32.5,193.44,96.951,0.77
2009,Plains,20393,7126,2840,1467,213,189,525,962,38560,26395,45399,-0.2,31.9,179.559,100,0.76
2010,Plains,20538,7360,2953,1512,222,201,533,981,39387,27028,46209,2.9,32.3,179.413,103.278,0.75
2011,Plains,20646,7627,3065,1570,230,212,552,1017,42030,28274,46921,0.2,32.4,183.109,103.422,0.72
2012,Plains,20760,7896,3202,1615,245,233,564,1031,44170,29100,47634,0.6,32.5,187.157,104.341,0.72
2013,Plains,20883,8054,3292,1620,250,243,571,1041,44380,29797,48068,0.5,32.5,190.307,104.656,0.75
2014,Plains,20995,8379,3431,1651,257,262,585,1131,45903,30734,48975,0.6,32.5,194.555,105.729,0.74
2003,Rhode Island,1071,6026,2080,1139,157,114,566,942,34272,23727,44625,2.5,32.7,186.157,89.182,0.81
2004,Rhode Island,1075,6498,2258,1227,176,123,583,1008,35757,25121,46310,2.6,32.7,188.63,91.953,0.82
2005,Rhode Island,1068,7020,2374,1370,188,147,620,1153,36927,26738,47176,1.5,32.6,191.757,93.861,0.8
2006,Rhode Island,1063,7351,2548,1430,209,163,636,1138,39106,28048,48259,0.4,32.7,196.156,94.68,0.81
2007,Rhode Island,1057,7751,2693,1475,234,188,668,1166,40912,29063,47137,0.4,32.7,197.541,96.178,0.78
2008,Rhode Island,1055,8079,2894,1546,250,197,673,1191,41977,29671,45746,-1.2,32.5,193.44,96.951,0.77
2009,Rhode Island,1054,8393,3069,1601,259,211,671,1239,40936,28843,45280,-0.2,31.9,179.559,100,0.76
2010,Rhode Island,1053,8569,3189,1623,270,222,685,1216,42744,29458,46332,2.9,32.3,179.413,103.278,0.75
2011,Rhode Island,1052,8782,3321,1678,285,229,705,1215,44316,30198,46010,0.2,32.4,183.109,103.422,0.72
2012,Rhode Island,1053,8961,3396,1746,295,237,723,1235,46159,30714,46188,0.6,32.5,187.157,104.341,0.72
2013,Rhode Island,1053,9160,3469,1772,300,243,738,1263,46316,31381,46356,0.5,32.5,190.307,104.656,0.75
2014,Rhode Island,1054,9551,3617,1855,311,252,742,1411,47845,32618,46723,0.6,32.5,194.555,105.729,0.74
2003,Rocky Mountains,9675,4394,1550,1139,177,88,228,568,30702,23129,44133,2.5,32.7,186.157,89.182,0.81
2004,Rocky Mountains,9808,4660,1670,1194,185,95,236,589,31860,24375,44273,2.6,32.7,188.63,91.953,0.82
2005,Rocky Mountains,9972,4870,1762,1226,188,103,255,623,33725,25784,45662,1.5,32.6,191.757,93.861,0.8
2006,Rocky Mountains,10190,5155,1877,1301,193,103,254,689,36027,27095,46756,0.4,32.7,196.156,94.68,0.81
2007,Rocky Mountains,10406,5415,1986,1321,205,121,275,725,37760,28103,47587,0.4,32.7,197.541,96.178,0.78
2008,Rocky Mountains,10610,5599,2083,1356,220,126,292,712,38717,28355,47019,-1.2,32.5,193.44,96.951,0.77
2009,Rocky Mountains,10794,5790,2228,1373,222,139,308,696,36244,26915,45170,-0.2,31.9,179.559,100,0.76
2010,Rocky Mountains,10950,5941,2349,1381,233,146,318,668,36541,27377,44936,2.9,32.3,179.413,103.278,0.75
2011,Rocky Mountains,11084,6108,2438,1414,252,154,332,674,39093,28482,45066,0.2,32.4,183.109,103.422,0.72
2012,Rocky Mountains,11224,6321,2550,1434,264,165,340,679,41105,29215,45025,0.6,32.5,187.157,104.341,0.72
2013,Rocky Mountains,11379,6493,2682,1444,277,172,343,676,42154,29972,45585,0.5,32.5,190.307,104.656,0.75
2014,Rocky Mountains,11532,6814,2833,1504,294,180,346,743,44521,31247,46655,0.6,32.5,194.555,105.729,0.74
2003,South Carolina,4150,4834,1883,1155,103,102,265,762,26575,19453,37283,2.5,32.7,186.157,89.182,0.81
2004,South Carolina,4211,5138,1972,1250,114,108,278,808,27814,20576,37124,2.6,32.7,188.63,91.953,0.82
2005,South Carolina,4270,5403,2065,1266,124,115,309,898,28958,21749,37397,1.5,32.6,191.757,93.861,0.8
2006,South Carolina,4358,5654,2165,1327,134,121,330,943,30577,22763,37326,0.4,32.7,196.156,94.68,0.81
2007,South Carolina,4444,5889,2276,1359,147,132,358,963,31956,23548,37724,0.4,32.7,197.541,96.178,0.78
2008,South Carolina,4529,6159,2425,1390,160,149,361,972,32877,23815,36834,-1.2,32.5,193.44,96.951,0.77
2009,South Carolina,4590,6363,2560,1400,165,163,365,1021,31635,22836,34955,-0.2,31.9,179.559,100,0.76
2010,South Carolina,4636,6554,2669,1409,168,173,384,1036,32160,23669,35126,2.9,32.3,179.413,103.278,0.75
2011,South Carolina,4673,6707,2727,1466,174,179,390,1054,33804,24512,35609,0.2,32.4,183.109,103.422,0.72
2012,South Carolina,4721,6853,2769,1503,189,193,385,1080,35248,25004,35346,0.6,32.5,187.157,104.341,0.72
2013,South Carolina,4768,7020,2837,1560,201,211,376,1112,35292,25544,35701,0.5,32.5,190.307,104.656,0.75
2014,South Carolina,4828,7311,2933,1618,204,219,383,1193,37014,26324,36301,0.6,32.5,194.555,105.729,0.74
2003,South Dakota,764,5180,2144,1195,141,26,493,592,30278,20729,40909,2.5,32.7,186.157,89.182,0.81
2004,South Dakota,770,5425,2275,1203,158,30,508,615,32168,22163,42046,2.6,32.7,188.63,91.953,0.82
2005,South Dakota,775,5885,2594,1191,171,38,523,676,33772,23470,42762,1.5,32.6,191.757,93.861,0.8
2006,South Dakota,783,6257,2824,1300,174,45,485,724,35203,24541,42825,0.4,32.7,196.156,94.68,0.81
2007,South Dakota,792,6579,2930,1369,184,46,502,760,38729,25783,44017,0.4,32.7,197.541,96.178,0.78
2008,South Dakota,799,6953,3138,1450,196,54,527,760,41311,26629,45516,-1.2,32.5,193.44,96.951,0.77
2009,South Dakota,807,7335,3391,1514,202,63,554,761,39524,25759,45457,-0.2,31.9,179.559,100,0.76
2010,South Dakota,816,7704,3648,1553,222,57,557,774,41063,26774,45605,2.9,32.3,179.413,103.278,0.75
2011,South Dakota,824,8065,3853,1603,226,76,566,819,44628,27954,47972,0.2,32.4,183.109,103.422,0.72
2012,South Dakota,834,8335,4000,1622,238,74,572,854,45041,28456,46965,0.6,32.5,187.157,104.341,0.72
2013,South Dakota,845,8547,4169,1616,245,80,573,881,44630,29165,46869,0.5,32.5,190.307,104.656,0.75
2014,South Dakota,853,8933,4415,1635,256,93,574,949,45921,30022,46874,0.6,32.5,194.555,105.729,0.74
2003,Southeast,71962,4931,1750,1271,140,129,309,794,29567,20426,40912,2.5,32.7,186.157,89.182,0.81
2004,Southeast,73019,5282,1854,1358,151,145,324,865,31198,21534,41901,2.6,32.7,188.63,91.953,0.82
2005,Southeast,74148,5543,1961,1395,161,158,343,907,32877,22800,43067,1.5,32.6,191.757,93.861,0.8
2006,Southeast,75066,5838,2066,1459,167,165,357,973,34879,23992,43586,0.4,32.7,196.156,94.68,0.81
2007,Southeast,76123,6097,2148,1494,181,178,383,1009,36259,24782,43028,0.4,32.7,197.541,96.178,0.78
2008,Southeast,77058,6306,2206,1564,194,191,394,1027,37072,24940,42092,-1.2,32.5,193.44,96.951,0.77
2009,Southeast,77815,6572,2349,1601,201,203,403,1069,35595,24039,40346,-0.2,31.9,179.559,100,0.76
2010,Southeast,78566,6710,2431,1618,208,208,413,1065,36392,24778,40674,2.9,32.3,179.413,103.278,0.75
2011,Southeast,79257,6862,2472,1683,215,211,429,1075,38067,25771,40476,0.2,32.4,183.109,103.422,0.72
2012,Southeast,79968,7116,2627,1751,223,212,428,1076,39216,26329,40421,0.6,32.5,187.157,104.341,0.72
2013,Southeast,80593,7232,2695,1776,228,215,428,1077,39066,26960,40539,0.5,32.5,190.307,104.656,0.75
2014,Southeast,81313,7562,2807,1857,238,219,429,1178,40842,27848,40917,0.6,32.5,194.555,105.729,0.74
2003,Southwest,32924,4407,1628,1163,131,142,214,608,28966,20773,42519,2.5,32.7,186.157,89.182,0.81
2004,Southwest,33475,4656,1707,1237,140,156,223,646,30065,21785,43687,2.6,32.7,188.63,91.953,0.82
2005,Southwest,34098,5050,1864,1361,145,174,234,695,32298,23139,44282,1.5,32.6,191.757,93.861,0.8
2006,Southwest,34945,5287,1935,1380,151,180,239,793,34593,24242,45743,0.4,32.7,196.156,94.68,0.81
2007,Southwest,35624,5540,2020,1392,162,196,257,870,36050,25086,46684,0.4,32.7,197.541,96.178,0.78
2008,Southwest,36269,5811,2136,1448,173,212,268,885,38456,25407,45914,-1.2,32.5,193.44,96.951,0.77
2009,Southwest,36899,6043,2270,1491,179,235,275,896,35779,24349,44324,-0.2,31.9,179.559,100,0.76
2010,Southwest,37477,6203,2370,1511,188,244,286,889,36689,24946,44490,2.9,32.3,179.413,103.278,0.75
2011,Southwest,37978,6357,2419,1576,197,249,297,904,39251,26252,45356,0.2,32.4,183.109,103.422,0.72
2012,Southwest,38522,6567,2549,1623,208,254,302,913,41343,27063,46909,0.6,32.5,187.157,104.341,0.72
2013,Southwest,39036,6666,2614,1634,212,245,305,910,41706,27781,48198,0.5,32.5,190.307,104.656,0.75
2014,Southwest,39625,6978,2703,1699,223,247,311,1023,44004,28897,49099,0.6,32.5,194.555,105.729,0.74
2003,Tennessee,5848,5093,1709,1331,137,109,321,951,29041,19924,40463,2.5,32.7,186.157,89.182,0.81
2004,Tennessee,5911,5523,1812,1478,152,131,338,1038,30455,20820,41777,2.6,32.7,188.63,91.953,0.82
2005,Tennessee,5991,5773,1932,1505,159,132,366,1047,31439,21770,41868,1.5,32.6,191.757,93.861,0.8
2006,Tennessee,6089,5950,2037,1519,160,146,389,1069,32950,22689,42177,0.4,32.7,196.156,94.68,0.81
2007,Tennessee,6176,6219,2130,1523,175,164,407,1116,34117,23342,41172,0.4,32.7,197.541,96.178,0.78
2008,Tennessee,6247,6305,2105,1587,178,185,408,1125,35322,23490,40949,-1.2,32.5,193.44,96.951,0.77
2009,Tennessee,6306,6499,2167,1625,177,197,424,1154,34635,22652,39096,-0.2,31.9,179.559,100,0.76
2010,Tennessee,6357,6626,2253,1675,193,207,418,1128,35653,23545,39370,2.9,32.3,179.413,103.278,0.75
2011,Tennessee,6398,6742,2288,1716,194,211,431,1132,37457,24641,40193,0.2,32.4,183.109,103.422,0.72
2012,Tennessee,6454,7007,2448,1791,203,206,425,1137,38778,25037,41091,0.6,32.5,187.157,104.341,0.72
2013,Tennessee,6495,7106,2540,1813,209,206,412,1115,38814,25543,41487,0.5,32.5,190.307,104.656,0.75
2014,Tennessee,6545,7372,2617,1880,219,214,413,1216,40128,26310,41875,0.6,32.5,194.555,105.729,0.74
2003,Texas,22031,4451,1658,1192,127,155,210,610,29789,21135,44330,2.5,32.7,186.157,89.182,0.81
2004,Texas,22394,4679,1731,1271,133,170,219,640,30551,22048,45691,2.6,32.7,188.63,91.953,0.82
2005,Texas,22778,5060,1851,1426,136,190,231,694,32793,23395,45966,1.5,32.6,191.757,93.861,0.8
2006,Texas,23360,5276,1927,1426,140,198,239,799,35008,24342,47595,0.4,32.7,196.156,94.68,0.81
2007,Texas,23832,5495,2000,1408,150,215,257,887,36630,25130,48954,0.4,32.7,197.541,96.178,0.78
2008,Texas,24309,5758,2110,1460,160,233,263,904,39534,25512,48282,-1.2,32.5,193.44,96.951,0.77
2009,Texas,24802,6004,2250,1499,167,263,273,921,36695,24522,47034,-0.2,31.9,179.559,100,0.76
2010,Texas,25244,6162,2342,1518,176,277,285,913,37892,25153,47417,2.9,32.3,179.413,103.278,0.75
2011,Texas,25646,6328,2397,1571,185,283,295,928,40825,26607,48354,0.2,32.4,183.109,103.422,0.72
2012,Texas,26072,6559,2545,1621,196,290,297,941,43178,27547,50266,0.6,32.5,187.157,104.341,0.72
2013,Texas,26474,6661,2605,1628,198,280,299,949,43399,28331,52018,0.5,32.5,190.307,104.656,0.75
2014,Texas,26945,6998,2698,1695,208,282,305,1073,45878,29538,52875,0.6,32.5,194.555,105.729,0.74
2003,Utah,2360,3859,1310,918,129,98,147,650,25657,20267,39094,2.5,32.7,186.157,89.182,0.81
2004,Utah,2402,4144,1447,988,137,112,153,656,26891,21620,40089,2.6,32.7,188.63,91.953,0.82
2005,Utah,2458,4399,1551,1045,147,125,167,687,28759,23066,41657,1.5,32.6,191.757,93.861,0.8
2006,Utah,2526,4581,1595,1077,148,129,168,741,31154,24580,44004,0.4,32.7,196.156,94.68,0.81
2007,Utah,2598,4799,1668,1141,158,136,175,755,32965,25653,45293,0.4,32.7,197.541,96.178,0.78
2008,Utah,2663,4990,1796,1160,165,147,188,753,33932,25681,43375,-1.2,32.5,193.44,96.951,0.77
2009,Utah,2723,5101,1888,1178,168,162,199,731,31619,24217,41563,-0.2,31.9,179.559,100,0.76
2010,Utah,2775,5171,1949,1198,171,161,208,706,31683,24439,41500,2.9,32.3,179.413,103.278,0.75
2011,Utah,2816,5341,2039,1211,184,166,221,723,33705,25225,41992,0.2,32.4,183.109,103.422,0.72
2012,Utah,2856,5543,2133,1246,190,176,227,732,35545,26015,41929,0.6,32.5,187.157,104.341,0.72
2013,Utah,2903,5658,2169,1293,198,186,228,720,36058,26794,42267,0.5,32.5,190.307,104.656,0.75
2014,Utah,2942,5982,2351,1319,212,188,230,784,37685,27721,43145,0.6,32.5,194.555,105.729,0.74
2003,Vermont,618,5739,2156,1258,189,160,380,679,32200,25588,39886,2.5,32.7,186.157,89.182,0.81
2004,Vermont,620,6134,2306,1322,212,178,399,725,34045,27248,41165,2.6,32.7,188.63,91.953,0.82
2005,Vermont,621,6568,2565,1360,221,190,428,840,34668,28853,41588,1.5,32.6,191.757,93.861,0.8
2006,Vermont,623,6934,2885,1399,234,192,439,862,36944,30128,41754,0.4,32.7,196.156,94.68,0.81
2007,Vermont,623,7295,3070,1373,252,210,474,864,38866,31115,41472,0.4,32.7,197.541,96.178,0.78
2008,Vermont,624,7623,3262,1425,259,222,472,910,40847,32305,41764,-1.2,32.5,193.44,96.951,0.77
2009,Vermont,625,8111,3578,1455,267,227,469,941,40221,31735,40855,-0.2,31.9,179.559,100,0.76
2010,Vermont,626,8488,3796,1485,273,237,499,948,40916,32691,42170,2.9,32.3,179.413,103.278,0.75
2011,Vermont,627,8874,4011,1577,281,256,516,983,43432,34213,43124,0.2,32.4,183.109,103.422,0.72
2012,Vermont,626,9302,4257,1642,296,269,530,1022,44889,35128,43042,0.6,32.5,187.157,104.341,0.72
2013,Vermont,627,9919,4527,1706,305,284,546,1158,45592,36327,42914,0.5,32.5,190.307,104.656,0.75
2014,Vermont,627,10190,4670,1750,321,301,563,1158,47104,37709,43120,0.6,32.5,194.555,105.729,0.74
2003,Virginia,7367,4539,1646,1189,129,84,289,696,36008,24427,49191,2.5,32.7,186.157,89.182,0.81
2004,Virginia,7476,4878,1774,1264,139,89,297,772,38066,25958,50400,2.6,32.7,188.63,91.953,0.82
2005,Virginia,7577,5167,1908,1297,147,95,318,813,40319,27579,52305,1.5,32.6,191.757,93.861,0.8
2006,Virginia,7674,5462,1996,1377,156,100,334,868,42654,28812,52866,0.4,32.7,196.156,94.68,0.81
2007,Virginia,7751,5776,2117,1433,169,109,364,898,44554,29969,52657,0.4,32.7,197.541,96.178,0.78
2008,Virginia,7833,6104,2212,1526,182,119,386,911,45707,30526,51985,-1.2,32.5,193.44,96.951,0.77
2009,Virginia,7926,6452,2381,1590,188,127,409,941,44232,29736,51389,-0.2,31.9,179.559,100,0.76
2010,Virginia,8026,6610,2461,1627,196,137,416,921,45340,30539,51946,2.9,32.3,179.413,103.278,0.75
2011,Virginia,8110,6877,2539,1715,204,144,430,941,47548,31640,51754,0.2,32.4,183.109,103.422,0.72
2012,Virginia,8192,7145,2706,1791,216,151,432,943,49302,32338,51546,0.6,32.5,187.157,104.341,0.72
2013,Virginia,8263,7306,2789,1811,218,152,437,974,48490,32828,51106,0.5,32.5,190.307,104.656,0.75
2014,Virginia,8317,7556,2912,1877,225,152,438,1015,50157,33626,50879,0.6,32.5,194.555,105.729,0.74
2003,Washington,6104,4867,1642,1351,203,73,289,618,34471,24718,49149,2.5,32.7,186.157,89.182,0.81
2004,Washington,6179,5127,1736,1418,216,92,292,647,36660,26118,49407,2.6,32.7,188.63,91.953,0.82
2005,Washington,6257,5450,1856,1503,231,99,310,679,37759,27392,51956,1.5,32.6,191.757,93.861,0.8
2006,Washington,6371,5729,1953,1560,242,109,313,759,40357,28776,52900,0.4,32.7,196.156,94.68,0.81
2007,Washington,6462,6128,2146,1623,262,123,336,796,43192,29941,55348,0.4,32.7,197.541,96.178,0.78
2008,Washington,6562,6487,2336,1699,276,139,361,790,44794,30271,54939,-1.2,32.5,193.44,96.951,0.77
2009,Washington,6667,6838,2554,1793,287,142,380,785,41844,29075,52264,-0.2,31.9,179.559,100,0.76
2010,Washington,6743,6981,2649,1824,294,146,398,750,42194,29680,52679,2.9,32.3,179.413,103.278,0.75
2011,Washington,6823,7119,2724,1868,297,153,423,747,44202,30805,52500,0.2,32.4,183.109,103.422,0.72
2012,Washington,6895,7461,2949,1900,300,168,449,737,47338,31786,53439,0.6,32.5,187.157,104.341,0.72
2013,Washington,6968,7609,3003,1924,314,172,453,740,47814,32664,54161,0.5,32.5,190.307,104.656,0.75
2014,Washington,7054,7913,3090,2064,324,188,462,795,50890,33923,55197,0.6,32.5,194.555,105.729,0.74
2003,West Virginia,1812,5643,2260,1225,134,114,358,857,24834,17773,32396,2.5,32.7,186.157,89.182,0.81
2004,West Virginia,1816,6034,2434,1272,144,125,389,935,25595,18775,32862,2.6,32.7,188.63,91.953,0.82
2005,West Virginia,1820,6396,2630,1297,149,135,433,982,26593,19641,33628,1.5,32.6,191.757,93.861,0.8
2006,West Virginia,1828,6706,2754,1323,151,138,453,1107,28406,20594,34009,0.4,32.7,196.156,94.68,0.81
2007,West Virginia,1834,7086,2921,1361,158,150,493,1176,29323,21247,33892,0.4,32.7,197.541,96.178,0.78
2008,West Virginia,1840,7326,2999,1416,172,172,503,1186,31273,22111,34679,-1.2,32.5,193.44,96.951,0.77
2009,West Virginia,1848,7772,3255,1489,181,187,507,1216,31412,22089,34564,-0.2,31.9,179.559,100,0.76
2010,West Virginia,1854,7960,3351,1509,187,206,510,1208,32082,23007,35368,2.9,32.3,179.413,103.278,0.75
2011,West Virginia,1855,8268,3452,1579,201,230,518,1241,33999,24101,36084,0.2,32.4,183.109,103.422,0.72
2012,West Virginia,1857,8764,3758,1660,211,260,521,1220,34808,24603,35509,0.6,32.5,187.157,104.341,0.72
2013,West Virginia,1853,8969,3876,1709,221,265,529,1218,34646,25118,35755,0.5,32.5,190.307,104.656,0.75
2014,West Virginia,1849,9462,4037,1807,238,272,539,1377,35730,25623,36059,0.6,32.5,194.555,105.729,0.74
2003,Wisconsin,5479,5409,1966,1416,154,96,407,681,32080,22142,43568,2.5,32.7,186.157,89.182,0.81
2004,Wisconsin,5514,5782,2106,1504,167,113,421,726,33246,23233,44455,2.6,32.7,188.63,91.953,0.82
2005,Wisconsin,5546,6144,2228,1626,183,129,440,760,34173,24292,45131,1.5,32.6,191.757,93.861,0.8
2006,Wisconsin,5578,6539,2392,1745,186,143,451,841,36133,25403,45515,0.4,32.7,196.156,94.68,0.81
2007,Wisconsin,5611,6867,2506,1838,198,162,475,876,37573,26149,45464,0.4,32.7,197.541,96.178,0.78
2008,Wisconsin,5641,7169,2638,1924,208,168,490,906,38873,26680,44622,-1.2,32.5,193.44,96.951,0.77
2009,Wisconsin,5669,7512,2824,1953,208,189,509,960,38012,25923,43215,-0.2,31.9,179.559,100,0.76
2010,Wisconsin,5690,7709,3011,1951,212,197,520,961,38597,26507,44126,2.9,32.3,179.413,103.278,0.75
2011,Wisconsin,5710,7971,3120,1996,223,203,527,984,40749,27549,44906,0.2,32.4,183.109,103.422,0.72
2012,Wisconsin,5726,8061,3206,2029,235,208,541,969,42537,27882,45382,0.6,32.5,187.157,104.341,0.72
2013,Wisconsin,5743,8189,3253,2040,248,224,538,1011,42728,28624,45845,0.5,32.5,190.307,104.656,0.75
2014,Wisconsin,5758,8702,3502,2168,264,230,553,1103,44296,29626,46423,0.6,32.5,194.555,105.729,0.74
2003,Wyoming,503,4990,2010,1211,200,60,266,578,33264,22724,54930,2.5,32.7,186.157,89.182,0.81
2004,Wyoming,509,5287,2136,1260,222,64,283,619,34974,24329,55848,2.6,32.7,188.63,91.953,0.82
2005,Wyoming,514,5683,2347,1322,223,68,305,665,38232,26075,57642,1.5,32.6,191.757,93.861,0.8
2006,Wyoming,523,6145,2543,1404,237,64,309,792,43208,28264,63428,0.4,32.7,196.156,94.68,0.81
2007,Wyoming,535,6545,2744,1474,256,61,323,840,44719,29878,65471,0.4,32.7,197.541,96.178,0.78
2008,Wyoming,546,6811,2864,1566,285,61,335,816,48541,31010,69182,-1.2,32.5,193.44,96.951,0.77
2009,Wyoming,560,6972,3029,1565,293,68,349,781,43549,28563,66320,-0.2,31.9,179.559,100,0.76
2010,Wyoming,565,7301,3287,1636,304,72,361,740,45450,29360,64603,2.9,32.3,179.413,103.278,0.75
2011,Wyoming,568,7554,3441,1676,331,71,377,723,49482,31131,63985,0.2,32.4,183.109,103.422,0.72
2012,Wyoming,577,7833,3607,1732,367,73,387,703,52768,31774,60777,0.6,32.5,187.157,104.341,0.72
2013,Wyoming,583,7961,3789,1699,363,72,390,702,52718,32374,60770,0.5,32.5,190.307,104.656,0.75
2014,Wyoming,584,8320,4001,1771,377,77,385,751,56349,33710,60900,0.6,32.5,194.555,105.729,0.74
